"ParticipantID","Question.Name","Question.Type","Question.Order","Question.Number","q.solv.time","grade","pp.mean","pp.log.mean","HR.E4.mean","HR.E4.validated.mean","HR.AW.mean","pp_normalized","pp_log_normalized","hr.e4_normalized","hr.e4_validated_normalized","hr.aw_normalized","Gender","SAI.Score"
"S003","A6M107.3","A",6,"6",61,1,0.00552570274770326,-5.1983565884529,69.706393442623,69.6223076923077,71.8461538461538,0.000537057373528105,0.110539274137597,-5.57324025701075,-5.53732867132867,-5.69360655737705,"M",30
"S003","A7M111.4","A",7,"7",56,1,0.00556620346465292,-5.19109718424947,97.9903571428571,85.685,77.6666666666667,0.000577558090477762,0.117798678341023,22.7107234432234,10.5253636363636,22.5903571428571,"M",30
"S003","A8M112.3","A",8,"8",153,0,0.00508026686582741,-5.28251720125481,94.3162745098039,76.1927777777778,74.2222222222222,9.16214916522546e-05,0.026378661335686,19.0366408101702,1.03314141414141,18.9162745098039,"M",30
"S003","A9M113.3","A",9,"9",89,1,0.00561474429598967,-5.18270144527188,72.1729213483146,72.1905555555556,70,0.000626098921814516,0.126194417318612,-3.1067123513191,-2.9690808080808,-3.2270786516854,"M",30
"S003","B10M102.1","V",5,"29",195,0,0.00539047761299651,-5.22359349100427,70.4442051282051,70.8091891891892,69.972972972973,0.000401832238821352,0.0853023715862244,-4.83542857142858,-4.35044717444718,-4.95579487179488,"M",30
"S003","B11M111.1","W",6,"18",28,0,0.00555029547790327,-5.19391493924957,72.4582142857143,73.48,78,0.000561650103728116,0.114980923340921,-2.82141941391941,-1.67963636363636,-2.94178571428571,"M",30
"S003","B12M112.1","V",6,"30",159,0,0.00553954245499695,-5.19603112624853,67.9469852941177,68.0314285714286,70.2121212121212,0.000550897080821798,0.112864736341965,-7.33264840551605,-7.12820779220779,-7.45301470588235,"M",30
"S003","B1M106.1","W",1,"13",60,1,0.00531960605543902,-5.23639016038907,74.1496666666667,74.89,72.6666666666667,0.000330960681263866,0.0725057022014273,-1.12996703296704,-0.269636363636366,-1.25033333333334,"M",30
"S003","B2M103.1","V",1,"25",170,1,0.00542463868144931,-5.21711942709154,72.2329411764706,72.4347058823529,76.1470588235294,0.000435993307274157,0.0917764354989563,-3.04669252316312,-2.72493048128342,-3.16705882352942,"M",30
"S003","B3M107.1","W",2,"14",71,1,0.00543937165794549,-5.21413762454535,78.3502816901408,76.6033333333333,71.3333333333333,0.00045072628377033,0.0947582380451459,3.07064799050714,1.44369696969697,2.95028169014084,"M",30
